법정동코드_변경후	법정동명_변경후	생성일자_변경후	삭제일자_변경후	법정동코드_변경전	법정동명_변경전	생성일자_변경전	삭제일자_변경전	변경내역
1121510100	서울특별시 광진구 중곡동			1120012000	서울특별시 성동구 중곡동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120012000 > 1121510100 | [법정동명 변경내역]: 성동구 > 광진구
1121510200	서울특별시 광진구 능동			1120012100	서울특별시 성동구 능동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120012100 > 1121510200 | [법정동명 변경내역]: 성동구 > 광진구
1121510300	서울특별시 광진구 구의동			1120012400	서울특별시 성동구 구의동	1992-07-01	1995-03-01	[법정동코드 변경내역] 1120012400 > 1121510300 | [법정동명 변경내역]: 성동구 > 광진구
1121510400	서울특별시 광진구 광장동			1120012300	서울특별시 성동구 광장동	1992-07-01	1995-03-01	[법정동코드 변경내역] 1120012300 > 1121510400 | [법정동명 변경내역]: 성동구 > 광진구
1121510500	서울특별시 광진구 자양동			1120012500	서울특별시 성동구 자양동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120012500 > 1121510500 | [법정동명 변경내역]: 성동구 > 광진구
1121510700	서울특별시 광진구 화양동			1120011600	서울특별시 성동구 화양동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120011600 > 1121510700 | [법정동명 변경내역]: 성동구 > 광진구
1121510800	서울특별시 광진구 모진동		2009-04-19	1120011700	서울특별시 성동구 모진동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120011700 > 1121510800 | [법정동명 변경내역]: 성동구 > 광진구
1121510900	서울특별시 광진구 군자동			1120011900	서울특별시 성동구 군자동	1988-04-23	1995-03-01	[법정동코드 변경내역] 1120011900 > 1121510900 | [법정동명 변경내역]: 성동구 > 광진구
2623000000	부산광역시 부산진구			2123000000	부산직할시 부산진구	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123000000 > 2623000000 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010100	부산광역시 부산진구 양정동			2123010100	부산직할시 부산진구 양정동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010100 > 2623010100 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010200	부산광역시 부산진구 전포동			2123010200	부산직할시 부산진구 전포동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010200 > 2623010200 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010300	부산광역시 부산진구 부전동			2123010300	부산직할시 부산진구 부전동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010300 > 2623010300 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010400	부산광역시 부산진구 범천동			2123010400	부산직할시 부산진구 범천동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010400 > 2623010400 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010500	부산광역시 부산진구 범전동			2123010500	부산직할시 부산진구 범전동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010500 > 2623010500 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010600	부산광역시 부산진구 연지동			2123010600	부산직할시 부산진구 연지동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010600 > 2623010600 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010700	부산광역시 부산진구 초읍동			2123010700	부산직할시 부산진구 초읍동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010700 > 2623010700 | [법정동명 변경내역]: 부산직할시 > 부산광역시
2623010900	부산광역시 부산진구 당감동			2123010900	부산직할시 부산진구 당감동	1988-04-23	1995-01-01	[법정동코드 변경내역] 2123010900 > 2623010900 | [법정동명 변경내역]: 부산직할시 > 부산광역시
