과거법정동코드	리명	법정동코드	삭제일자	생성일자	순위	시군구명	시도명	읍면동명	법정동명
		1100000000		1988-04-23	11		서울특별시		서울특별시
		1111000000		1988-04-23	1	종로구	서울특별시		서울특별시 종로구
		1111010100		1988-04-23	1	종로구	서울특별시	청운동	서울특별시 종로구 청운동
		1111010200		1988-04-23	2	종로구	서울특별시	신교동	서울특별시 종로구 신교동
		1111010300		1988-04-23	3	종로구	서울특별시	궁정동	서울특별시 종로구 궁정동
		1111010400		1988-04-23	4	종로구	서울특별시	효자동	서울특별시 종로구 효자동
		1111010500		1988-04-23	5	종로구	서울특별시	창성동	서울특별시 종로구 창성동
		1111010600		1988-04-23	6	종로구	서울특별시	통의동	서울특별시 종로구 통의동
		1111010700		1988-04-23	7	종로구	서울특별시	적선동	서울특별시 종로구 적선동
		1111010800		1988-04-23	8	종로구	서울특별시	통인동	서울특별시 종로구 통인동
		1111010900		1988-04-23	9	종로구	서울특별시	누상동	서울특별시 종로구 누상동
		1111011000		1988-04-23	10	종로구	서울특별시	누하동	서울특별시 종로구 누하동
		1111011100		1988-04-23	11	종로구	서울특별시	옥인동	서울특별시 종로구 옥인동
		1111011200		1988-04-23	12	종로구	서울특별시	체부동	서울특별시 종로구 체부동
		1111011300		1988-04-23	13	종로구	서울특별시	필운동	서울특별시 종로구 필운동
		1111011400		1988-04-23	14	종로구	서울특별시	내자동	서울특별시 종로구 내자동
		1111011500		1988-04-23	15	종로구	서울특별시	사직동	서울특별시 종로구 사직동
		1111011600		1998-12-01	16	종로구	서울특별시	도렴동	서울특별시 종로구 도렴동
		1111011700		1998-12-01	17	종로구	서울특별시	당주동	서울특별시 종로구 당주동
		1111011800		1998-12-01	18	종로구	서울특별시	내수동	서울특별시 종로구 내수동
		1111011900		1998-12-01	19	종로구	서울특별시	세종로	서울특별시 종로구 세종로
		1111012000		1998-12-01	20	종로구	서울특별시	신문로1가	서울특별시 종로구 신문로1가
		1111012100		1998-12-01	21	종로구	서울특별시	신문로2가	서울특별시 종로구 신문로2가
		1111012200		1998-12-01	22	종로구	서울특별시	청진동	서울특별시 종로구 청진동
		1111012300		1998-12-01	23	종로구	서울특별시	서린동	서울특별시 종로구 서린동
		1111012400		1998-12-01	24	종로구	서울특별시	수송동	서울특별시 종로구 수송동
